Title,Film Fest,Festival Program,All Pass,Status,Screenings,Tracking,Sub Date,Sales Company,Active,Submitted By,Submitted To,Film List,Type,Genre,Director,Budget,Writer,Read By,Producer,Last Updated,Cast,Script,Print Coverage,Format Submitted,Log Line,Notes,,Screening,Priority I,Festival Wrap Up,Priority II,Bought By, Coverage Text Only,Insert Script File Here,Insert Coverage File Here
Outside the Law (hors la loi),Cannes 2010,Cannes 2010 Competition,Not All Pass,Completed,,Not Tracking,,StudioCanal,,,,Not Film List,,Action Drama ,Rachid Bouchareb,,Rachid Bouchareb,,,05/06/2010,"Jamel Debbouze, Sami Bouajila, Roschdy Zem ",,No Print Coverage,,"After losing their family home in Algeria to unscrupulous French settlers and local collaborators, three brothers are scattered across the globe. Messaoud joins the French army fighting in Indochina; Abdelkader becomes a leader of the Algerian independance movement; Saïd moves to Paris to make fortune in the shady clubs and boxing halls of Pigalle. Gradually, their interconnecting destinies reunite them in the French capital, where freedom is a battle to be fought and won. 137'","(Stefano) - Good for Francophone territories but difficult for others.
(Another opinion) - Three brothers actors are really good, but the story itself and the other characters are dreadful.  Pass.
",,"Fri 14 - 17.30 @Arcades 1, Mon 17 - 9:30 @Star 3                                           Fri 21 - 8.30, 15.00 & 19.00 @Lumiere  Sat 22 - 12.00 @60th",,Festival Wrap Up,,"BLX: Mig (new fund, copro and distrib), FR: StudioCanal, SW: Frenetic, UK: not avail",,,
"Perfect Date, the",Cannes 2010,,Not All Pass,Completed,,Not Tracking,,StudioCanal,,,,Not Film List,,Romance Comedy,"Dominique Farrugia, Arnaud Lemort",,,,,04/20/2010,"Clovis Cornillac, Virginie Efira, Manu Payet",,No Print Coverage,,A hopeless romantic and an incurable ladies-man challenge themselves when they both meet their ideal woman.,"FRENCH RELEASE DATE: MAY 5, 2010 ",,MON 17 - 19:30@STAR 3,,,,,,,
"Princess of Montpensier, the",Cannes 2010,Cannes 2010 Competition,Not All Pass,Completed,,Not Tracking,,StudioCanal,,,,Not Film List,,Historical Drama,Bertrand Tavernier,,,,,05/06/2010,"Mélanie Thierry, Lambert Wilson, Gaspard Ulliel, Grégoire Leprince-Ringuet ",,No Print Coverage,,"France, 1562. Marie de Mézières, a beautiful young aristocrat, and Henri de Guise, one of the kingdom's most intrepid heroes, are in love, but Marie's father promises her hand in marriage to the Prince of Montpensier... 139'","(Daniel) - Too long.  Second half I liked better.  Not a Palm contender.  We have the movie and on a small scale we can make it work.
(Second Opinion) - A costume drama with lots of weapons, love drama with passion that doesn't really falme.  Nothing convincing at all.  It was hard to sit through.",,"Thu 13 - 18.00, Sat 15 - 10.00 & Sun 16 - 18:00 @Olympia 5                                Sun 16 - 8.30, 15.00 & 19.00 @Lumiere                              Mon 17 - 12.00 @60th",,Festival Wrap Up,,"FR: StudioCanal, SW: Frenetic, UK: not avail",,,
Sammy's Adventures,Cannes 2010,,Not All Pass,Completed,,Not Tracking,,StudioCanal,,,,Not Film List,,3D Animation,Ben Stassen,,,,,04/20/2010,,,No Print Coverage,,"The wonderful 3D journey of the adventures of Sammy the sea turtle as he searches the ocean for his true love, Shelly.","INITIAL THEATRICAL RELEASE: FRANCE AUGUST 11, 2010 ",,"SUN 16 - 14:00@PALAIS K 'BORY'
TUES 18 - 14:00@PALAIS I",,,,,,,
the other woman,Cannes 2010,,Not All Pass,Unknown,,Not Tracking,04/20/2010,StudioCanal,,,,Not Film List,,Thriller  ,"Huck Botko, Andrew Gurland",,,,"Eli Roth, Strike Ent",,,,No Print Coverage,,A jilted mistress takes revenge on her married boyfriend and his family.,From the creators of 'The Last Exorcism',,,,,,,,,
Together's A Crowd,,,Not All Pass,Completed,,Not Tracking,,StudioCanal,,,,Not Film List,,Family Comedy,Léa Fazer,,,,,,"Nathalie Baye, Pierre Arditi, Eric Cantona",,No Print Coverage,,A happy young couple with twins find themselves taking on extra parental responsibilities for increasingly irresponsible grandparents.,,,,,,,,,,
"Two Deaths of Quincas Wateryell, the",Cannes 2010,,Not All Pass,Development,,Not Tracking,,StudioCanal,,,,Not Film List,,Comedy,Sergio Machado,,,,Walter Salles,04/20/2010,"Paulo José, Mariana Ximenes",,No Print Coverage,,"Quincas Wateryell may have been an embarrassment to his middle-class family but was a hero to the poor in the Bahia slums. After his death, his two ‘families' battle to pay him final tribute.","BUENA VISTA RELEASING LATIN AMERICA MAY 14, 2010  ",,,,,,,,,
"Villain, the",,,Not All Pass,Completed,,Not Tracking,,StudioCanal,,,,Not Film List,,Comedy,Albert Dupontel,,,,,,"Albert Dupontel, Catherine Frot",,No Print Coverage,,"A lovable mother and her law-breaking son become accidental accomplices in this spectacular, offbeat action comedy.",,,,,,,,,,
tiny furniture,,,Not All Pass,Completed,,Not Tracking,,Submarine,,,,Not Film List,,Drama,Lena Dunham,,Lena Dunham,,"Kyle Martin, Alicia Van Couvering",04/23/2010,"Alex Karpovsky, David Call, Grace Dunham, Laurie Simmons",,No Print Coverage,,"After finishing college, twenty-two-year-old Aura returns home to her artist mother’s loft feeling very discouraged. She has a useless film theory degree, 357 hits on her YouTube page, no significant other and way too much free time. ","IFC Picked up worldwide rights excluding UK, FR, BLX, AUS.  Screened in SXSW",,,,,,,"Tiny Furniture
By JOE LEYDON

'Tiny Furniture'
Laurie Simmons and Lena Dunham are real-life and onscreen mother and daughter in the latter's pre-life crisis film 'Tiny Furniture.'
Most Viewed:
CBS marketing exec Ron Scalera dies
Shrek Forever After
Sony pushes back 'Green Hornet'
'Life's Too Short' for Gervais, Merchant
Woody Allen reveals details of upcoming pic
L.A. cracks down on 'pay to audition' scams
A Submarine Entertainment presentation of a Tiny Ponies production. Produced by Kyle Martin, Alicia Van Couvering. Co-producer, Alice Wang. Directed, written by Lena Dunham.
 
With: Lena Dunham, Laurie Simmons, Grace Dunham, Rachel Howe, Merritt Wever, Amy Seimetz, Alex Karpovsky, Jemima Kirke, David Call, Sarah Sophie Flicker, Garland Hunter, Isen Hunter.
 
Winner of the narrative feature prize at the SXSW Film Festival, 'Tiny Furniture' should strike a responsive chord in anyone who remembers -- or is experiencing -- that post-college period in life when you're impatiently eager to invent yourself, yet hesitant to get started. Written and directed by newcomer Lena Dunham, who also plays the lead role, this technically polished indie often feels like a semi-autographical effort by a filmmaker trying to work out issues in her art that she's still confronting in life. But that, too, may help the pic connect with auds during limited theatrical exposure.

Dunham plays Aura, who, having broken up with her b.f. and produced a sparsely viewed YouTube video as well as earned a film studies degree from a Midwestern university, has returned to her family's Tribeca loft. She's determined to emerge from the shadow of her successful artist mother (Laurie Simmons, the filmmaker's real-life mom) and stifle sarcastic criticism from her ultra-ambitious younger sister (Grace Dunham, the filmmaker's real-life sibling) by striking out on her own. Until she can figure out just how to do that, however, she's resigned to moving back into her old room and taking a job as a restaurant hostess.

The wispy plot proceeds at an unhurried pace, as events unfold with a randomness more apparent than real. Indeed, it's easy to overlook until the final credits roll just how firmly Dunham is in command of her material, and how subtly she sustains a palpable sense of narrative momentum even as her low-key dramedy often seems as adrift as the character Dunham plays.

There's a homemovie quality to the pic, and not just because Dunham filmed most of it in her parents' Tribeca apartment. But there's also a solid ring of emotional truth in many scenes, particularly those in which intelligent characters behave childishly -- their spontaneity sometimes laced with cruelty -- and clever turns of phrase are employed as weapons.

Fairly early on, Aura attends a party where she meets Jed (Alex Karpovsky), a passive-aggressive young filmmaker in need of a place to crash while he's in town 'for meetings.' (His calling-card Internet shorts are near-insufferable, which may be Dunham's way of suggesting that, yes, of course, he's bound to strike it big.) That Jed is able to effortlessly charm her is just one telltale sign of her neediness. Another indication: Aura falls for another elusive fellow, restaurant co-worker Keith (David Call), leading to a payoff scene that is at once hilarious and heart-wrenching.

While directing herself in a demanding role, Dunham displays a notable lack of vanity on either side of the camera. Neither model-thin nor obese, she does little to glamorize herself -- even during a fleeting nude scene -- and less to make sure Aura remains consistently likable. The character behaves badly, or at least heedlessly, on more than one occasion, and Dunham deliberately withholds information, leaving it up to the aud to suss out her motivations. We're never told why Aura grows increasingly distant from a formerly close college classmate (Merritt Wever) while at the same time reuniting with a shallow high school friend (played with fearless brio by Jemima Kirke). Perhaps, pic implies, Aura can't always explain her actions, not even to herself.

'Tiny Furniture' boasts a first-rate supporting cast -- Karpovsky and Kirke are standouts -- and nimble HD lensing by Jody Lee Lipes. (The title, by the way, refers to props used by Aura's mom in her photo art.) What it doesn't have, to its credit, is a neat conclusion. In the end, the film appears to suggest that Aura likely will feel free to keep searching for herself, repeating mistakes and making new ones, because she has all the time in the world.",,
baaria,,,Not All Pass,Completed,,Not Tracking,04/19/2010,Summit Entertainment,,,,Not Film List,,Comedy/Drama/History/War,Giuseppe Tornatore,,Giuseppe Tornatore,Mirjam,"Tarak Ben Ammar, Marina Berlusconi",04/19/2010,"Francesco Scianna, Raoul Bova, Margareth Made",,Print Coverage,,Baaria is Sicilian slang for Bagheria where Tornatore was born and this is an autobiographic epic of three generations in the Sicilian village where he was born.,,,,,,,,"SUMMIT

TITLE: Baaria
DIRECTOR: Giuseppe Tornatorre
WRITER: Giuseppe Tornatorre
CAST: Starring FRANCESCO SCIANNA (THE DAY OF MY LIFE, THE SCENT OF BLOOD), MARGARETH MADÈ, MONICA BELLUCCI (THE PASSION OF THE CHRIST, MATRIX REVOLUTIONS)
STATUS: Post Production
GENRE: Drama
READER: Mirjam

LOGLINE

Following the life journey of PEPPINO TORRENUOVA (Francesco Scianna) from his upbringing as a high-spirited cowherd’s son in the 30’s, to his forbidden romance and marriage to the beautiful MANNINA (Margareth Madè), and culminating with his tumultuous political career and home life, BAARÌA is a humorous and often heartbreaking tale of small town family dynamics.

COMMENTS

Epic Italian film that could be very nice, but I have my reservations. It covers a long period of time and spends a great deal of energy introducing the characters.  The scrit covers many historical events that we’ve seen before, like World War II and communism in Italy in the post war period, leaving the script feeling dated.   The pacing is slow and sometimes the story is less than gripping, and failed to hold my attention throughout.  I have a feeling that it’s a risky prebuy. 

SUMMARY - COMING


",,baariacov.doc
bridge to terabithia,,,Not All Pass,Completed,,Not Tracking,04/19/2010,Summit Entertainment,,,,Not Film List,,Adventure Family,Gabor Csupo,$60Mil (est),"Jeff Stockwell, David Paterson, Katherine Paterson (book)",,"David Paterson, Lauren Levine, Hal Lieberman",04/19/2010,"Josh Hutcherson, Anna Sophia Robb, Zooey Deschanel, Robert Patrick",,Print Coverage,,A preteen's life is changed after befriending the new girl at school. ,,,,,,,,"SUMMIT

TITLE: BRIDGE TO TEREBITHIA
DIRECTOR: Gabor Csupo 
WRITER: Jeff Stockwell
CAST:  
STATUS: Filming January, 2006
GENRE: Children’s/Family

LOGLINE: Two outcast children create a fantasy world to help escape the harsh realities of junior high.

SUMMARY

JESS AARONS home life is less than ideal.  His mother, MRS. AARONS is constantly inundated with his 4 sister’s needs, and his father, MR. AARONS is struggling to support the family by working at Wal Mart.  Jesse is a passionate drawer with a wild imagination, but his father disapproves of his dreaming, calling it impractical. Jess’s youngest sister MAY BELLE idolizes him, but he ignores her.

At school, Jess is tormented by wise guy SCOTT and his sidekick GARY.  Jess’s teacher, MRS. MEYERS welcomes Jess’ new neighbor, LESLIE BURKE to the class.  Leslie is awkward and shy, and in no time her classmates are already picking on her.  At recess, Jesse is about to win the 50-yard dash, when Leslie breaks from the pack, beating him to the finish line.  Jesse is humiliated.  Leslie tries to make small talk with Jess, but he storms off.
 
Back in class, Jesse harbors a crush on MS. EDMUNDS, his music teacher.  Jess is surprised when Leslie submits an essay on SCUBA diving that’s written with the same kind of imagination that he uses to draw.  Leslie rallies to Jess’ defense when Scott and Gary steal some of his drawings, telling him that he’s really talented. On the bus ride home, Jess returns the favor when he helps Leslie escape from JANICE, the school bully. Jess and Leslie get off at the same bus stop, realizing that they’re actually neighbors.  

Jess and Leslie decide to wander off into the woods together.  May Belle tries to follow, but Jess scolds her away.  Jess and Leslie discover a hidden patch of forest. Leslie proposes that they create a make believe world called Terebathia, where they’ll reign as king and queen.  Initially Jess is reluctant, but Leslie encourages him to use his imagination.  Jess and Leslie roam through the woods, pretending to fight monsters and protect magical Terabithian fairies.  Leslie and Jess become fast friends.  Leslie gives Jess a set of paints, while Jess gives Leslie a puppy, who they name PRINCE TERRIEN.

After Janice bullies May Belle at lunch, Jess and Leslie decide to get revenge by writing a fake love letter from WILLARD HUGHES, the most popular boy is school.  Janice gets the letter and approaches Willard, but is humiliated when he rejects her.  Janice becomes withdrawn and depressed.  Jess and Leslie regret what they’ve done.  Leslie speaks to Janice in private and makes peace with her.

In class, Mrs. Edmunds discovers Jess’ drawings and tells him how talented he is.  That weekend, Mrs. Edmunds calls Jess, asking him if he’d like to go to the art museum in the city to see all the paintings.  Jess bails on his plans with Leslie, not even inviting her to come along.  Jess and Mrs. Edmunds have a great time, and he realizes how much bigger the world around him is, but her returns home to terrible news.  Leslie wandered into the woods alone, fell from their rope swing and died. 

Jess becomes convinced that Leslie’s death is all his fault.  If he’d just invited her to the museum, none of this would have happened.  Jess goes into isolation, emotionally numbed.  Janet stops bullying other kids, sitting with Jess on the bus.  For the first time, Mr. Aarons comforts Jess, telling him that he should keep Leslie alive in his heart.  He buys Jess a set of paints, telling him to follow his dreams. Jess invites May Belle into the woods, anointing her as the new queen of Terabithia.  Together they vow to keep Leslie’s world alive.   


COMMENTS

A solid children’s story that manages to balance both imagination and pathos in a responsible way.  Jess and Leslie are believably written as awkward kids struggling to survive through the torments of pre-adolescence, and their friendship is made all the more endearing by their joint-fantasy world.  Because we’ve come to sympathize with the two protagonists throughout their adventures, Leslie’s death is truly heartbreaking.   However, the script takes some inorganic turns.  Jess’ initially understated reaction to Leslie’s death seems odd, along with Mrs. Edmund’s near-disappearance from the storyline after the accident.  Another point of concern is the intense subject matter of children grieving with death, which may be problematic to market amidst the upbeat nature of this genre.  This is a consider with reservations.
",,BridgetoTerabithia.doc
